Date_start,Date_end,Duration,Current1_Ah,Current2_Ah,Current3_Ah,Total_Ah,Power_kW
1/1/2017 0:00,1/1/2017 1:00,,197.056,199.516,166.369,562.94,117.823342
1/1/2017 1:00,1/1/2017 2:00,,199.061,202.338,168.074,569.473,119.1906989
1/1/2017 2:00,1/1/2017 3:00,,196.918,200.767,165.97,563.655,117.9729915
1/1/2017 3:00,1/1/2017 4:00,,192.247,198.201,165.755,556.203,116.4132879
1/1/2017 4:00,1/1/2017 5:00,,190.693,198.661,165.698,555.052,116.1723836
1/1/2017 5:00,1/1/2017 6:00,,189.549,195.689,163.632,548.869,114.8782817
1/1/2017 6:00,1/1/2017 7:00,,192.06,197.76,165.021,554.841,116.1282213
1/1/2017 7:00,1/1/2017 8:00,,191.266,199.267,164.228,554.761,116.1114773
1/1/2017 8:00,1/1/2017 9:00,,181.248,195.239,161.018,537.505,112.4997965
1/1/2017 9:00,1/1/2017 10:00,,181.12,197.159,161.382,539.661,112.9510473
1/1/2017 10:00,1/1/2017 11:00,,181.666,196.2,160.828,538.694,112.7486542
1/1/2017 11:00,1/1/2017 12:00,,181.402,195.422,159.932,536.756,112.3430308
1/1/2017 12:00,1/1/2017 13:00,,183.355,198.026,161.483,542.864,113.6214352
1/1/2017 13:00,1/1/2017 14:00,,183.443,198.364,162.058,543.865,113.8309445
1/1/2017 14:00,1/1/2017 15:00,,184.082,198.355,164.755,547.191,114.5270763
1/1/2017 15:00,1/1/2017 16:00,,189.558,195.733,160.861,546.152,114.3096136
1/1/2017 16:00,1/1/2017 17:00,,192.68,201.157,165.779,559.616,117.1276288
1/1/2017 17:00,1/1/2017 18:00,,196.748,196.942,164.78,558.47,116.887771
1/1/2017 18:00,1/1/2017 19:00,,199.497,198.698,167.238,565.433,118.3451269
1/1/2017 19:00,1/1/2017 20:00,,196.15,199.15,168.062,563.362,117.9116666
1/1/2017 20:00,1/1/2017 21:00,,210.05,213.813,177.572,601.435,125.8803455
1/1/2017 21:00,1/1/2017 22:00,,205.787,216.836,179.528,602.151,126.0302043
1/1/2017 22:00,1/1/2017 23:00,,205.303,215.808,179.242,600.353,125.6538829
1/1/2017 23:00,2/1/2017 0:00,,206.951,217.271,178.718,602.941,126.1955513
2/1/2017 0:00,2/1/2017 1:00,,205.24,216.361,180.899,602.5,126.10325
2/1/2017 1:00,2/1/2017 2:00,,209.257,222.378,182.452,614.088,128.5286184
2/1/2017 2:00,2/1/2017 3:00,,205.361,217.2,178.821,601.382,125.8692526
2/1/2017 3:00,2/1/2017 4:00,,209.218,217.385,179.642,606.244,126.8868692
2/1/2017 4:00,2/1/2017 5:00,,206.937,220.334,180.463,607.734,127.1987262
2/1/2017 5:00,2/1/2017 6:00,,205.716,218.408,179.829,603.954,126.4075722
2/1/2017 6:00,2/1/2017 7:00,,237.255,243.204,184.201,664.66,139.113338
2/1/2017 7:00,2/1/2017 8:00,,267.407,289.871,212.472,769.75,161.108675
2/1/2017 8:00,2/1/2017 9:00,,334.716,361.604,295.409,991.729,207.5688797
2/1/2017 9:00,2/1/2017 10:00,,478.452,487.067,461.557,1427.076,298.6870068
2/1/2017 10:00,2/1/2017 11:00,,545.644,546.51,515.206,1607.36,336.420448
2/1/2017 11:00,2/1/2017 12:00,,563.903,562.134,520.153,1646.19,344.547567
2/1/2017 12:00,2/1/2017 13:00,,496.946,541.257,479.466,1517.668,317.6479124
2/1/2017 13:00,2/1/2017 14:00,,492.672,533.643,498.439,1524.754,319.1310122
2/1/2017 14:00,2/1/2017 15:00,,530.169,555.615,517.599,1603.383,335.5880619
2/1/2017 15:00,2/1/2017 16:00,,527.779,564.385,502.083,1594.247,333.6758971
2/1/2017 16:00,2/1/2017 17:00,,488.248,534.115,461.126,1483.489,310.4942477
2/1/2017 17:00,2/1/2017 18:00,,404.727,451.711,402.556,1258.994,263.5074442
2/1/2017 18:00,2/1/2017 19:00,,313.519,349.22,319.854,982.593,205.6567149
2/1/2017 19:00,2/1/2017 20:00,,267.015,293.805,261.644,822.464,172.1417152
2/1/2017 20:00,2/1/2017 21:00,,231.562,240.757,206.79,679.109,142.1375137
2/1/2017 21:00,2/1/2017 22:00,,221.671,228.832,197.68,648.182,135.6644926
2/1/2017 22:00,2/1/2017 23:00,,218.175,229.115,192.58,639.869,133.9245817
